Parcel_Index	Name	Original_Networks	New_Mapping
170	R_vId/vIg	SalVentAttn	SalVentAttn
171	L_dIg	SomMot	SomMot
172	R_dIg	SomMot	SomMot
173	L_dId	SalVentAttn	SalVentAttn
174	R_dId	SalVentAttn	SalVentAttn
175	L_A23d	Default	Default
176	R_A23d	Default	Default
177	L_A24rv	0	Cont
178	R_A24rv	0	Default
179	L_A32p	Default	Default
180	R_A32p	SalVentAttn	Cont
181	L_A23v	Default	Default
182	R_A23v	Vis	Default
183	L_A24cd	SalVentAttn	SalVentAttn
184	R_A24cd	SalVentAttn	SalVentAttn
185	L_A23c	SalVentAttn	SalVentAttn
186	R_A23c	SalVentAttn	SalVentAttn
187	L_A32sg	Default	Default
188	R_A32sg	Default	Default
189	L_cLinG	Vis	Vis
190	R_cLinG	Vis	Vis
191	L_rCunG	Vis	Vis
192	R_rCunG	Vis	Vis
193	L_cCunG	Vis	Vis
194	R_cCunG	Vis	Vis
195	L_rLinG	Vis	Vis
196	R_rLinG	Vis	Vis
197	L_vmPOS	Vis	Vis
198	R_vmPOS	Vis	Vis
199	L_mOccG	Vis	Vis
200	R_mOccG	Vis	Vis
201	L_V5/MT+	DorsAttn	DorsAttn
202	R_V5/MT+	Vis	Vis
203	L_OPC	Vis	Vis
204	R_OPC	Vis	Vis
205	L_iOccG	Vis	Vis
206	R_iOccG	Vis	Vis
207	L_msOccG	Vis	Vis
208	R_msOccG	Vis	Vis
209	L_lsOccG	Vis	Vis
210	R_lsOccG	Vis	Vis
